name,display,description,details,type
cnt,Cnt,Number of distinct entities counted in this aggregate cell.,"The counted entity depends on the table (patient, encounter, note or report). Inspect its count expression and suppression threshold; do not sum overlapping cube cells.",integer
subject_ref,Subject ref,Patient reference used for linkage.,,string
encounter_ref,Encounter ref,Source encounter reference.,,string
encounter_ref_link,Encounter ref link,Retained study encounter assigned to the evidence record.,,string
encounter_ref_link_col,Encounter ref link col,Linking method: source encounter reference or date-based linkage.,,string
age_at_visit,Age at visit,"Age in years at the encounter, from core encounter data.",,integer
age_group,Age group,Age-group code assigned by the age-at-visit lookup.,Mappings: 0=age_00_to_01 (Infant); 1=age_01_to_05 (Early childhood); 2=age_01_to_05 (Early childhood); 3=age_01_to_05 (Early childhood); 4=age_01_to_05 (Early childhood); 5=age_05_to_12 (Childhood); 6=age_05_to_12 (Childhood); 7=age_05_to_12 (Childhood); 8=age_05_to_12 (Childhood),string
gender,Gender,Source administrative gender.,,string
race_display,Race display,Source race display text.,,string
ethnicity_display,Ethnicity display,Source ethnicity display text.,,string
status,Status,Encounter status in the study population table.,,string
enc_period_ordinal,Enc period ordinal,Encounter period ordinal used for utilization counting.,,integer
enc_period_start_day,Enc period start day,Encounter start date.,,day
enc_period_end_day,Enc period end day,Encounter end date.,,day
enc_period_end_day_filled,Enc period end day filled,"Encounter end date, falling back to start date when missing.",,day
code,Code,Coding value matched by the valueset.,,string
system,System,Coding-system identifier.,,string
display,Display,Human-readable coding display.,,string
variable,Variable,Valueset variable identifier in the union tables.,,string
tier,Tier,Source valueset evidence tier.,Retained as a string from CSV. Broad diagnosis codes do not independently confirm a histologic subtype.,string
subtype,Subtype,Tumor subtype label in the case-definition valueset.,,string
dx_atrt,Atrt — recorded evidence,Presence of matching coded evidence for Atrt.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",boolean
dx_brain_cancer,Brain Cancer — recorded evidence,Presence of matching coded evidence for Brain Cancer.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",boolean
dx_medulloblastoma,Medulloblastoma — recorded evidence,Presence of matching coded evidence for Medulloblastoma.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",boolean
lab_absolute_neutrophil_count,Absolute neutrophil count — recorded evidence,Presence of matching coded evidence for Absolute neutrophil count.,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Two method variants; coverage not comprehensively audited.",boolean
lab_alt,Alanine aminotransferase (ALT) — recorded evidence,Presence of matching coded evidence for Alanine aminotransferase (ALT).,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Includes P-5-P method variants and local codes; preserve method, specimen and units.",boolean
lab_ast,Aspartate aminotransferase (AST) — recorded evidence,Presence of matching coded evidence for Aspartate aminotransferase (AST).,"TRUE when matching evidence exists for the encounter; otherwise NULL in this table. This is not a numeric lab result, confirmed diagnosis, or proof of medication administration. Includes P-5-P method variants and local codes; local specimens require validation.",boolean
